ii                            mean         std         2.5q         25q         50q         75q      97.5q       mc_err
a_subj(1.1).12             1.42806   0.0431239      1.34873     1.39705     1.42738      1.4551    1.51751   0.00133404
a_subj(1.2).12             1.61758   0.0455234      1.53084     1.58855     1.61635     1.64561     1.7138   0.00119974
a_subj(1.0).13             3.14817    0.146358      2.88352     3.04449     3.14512     3.24083    3.44215   0.00655145
a_subj(1.1).13             3.10262    0.168526      2.80161      2.9885     3.09194      3.2153     3.4439   0.00819224
a_subj(1.2).13             3.15903    0.157037      2.85913     3.05495       3.151     3.25926    3.47861   0.00779048
a_subj(1.0).14             2.15197   0.0868392      1.98731     2.09136     2.15119     2.20872    2.32734   0.00328601
a_subj(1.1).14             2.95827    0.168532      2.64046     2.83933     2.95548     3.06923    3.30794   0.00895247
a_subj(1.2).14             2.86506    0.124065      2.61787     2.78231      2.8598     2.95015    3.11068   0.00435433
a_subj(1.0).15             2.13389   0.0640083      2.00861     2.08958     2.13358     2.17677    2.26005   0.00190296
a_subj(1.1).15             2.06717   0.0775754      1.91487     2.01694     2.06783      2.1186    2.21672   0.00367728
a_subj(1.2).15             2.14802   0.0884139      1.98613     2.08905     2.14613     2.19963    2.34663   0.00364318
a_subj(1.0).16             3.22323    0.125378      2.98446     3.13635     3.21843     3.30445    3.47486   0.00427016
a_subj(1.1).16              2.6105   0.0984364      2.42339     2.54081     2.60866     2.67722    2.80527   0.00353794
a_subj(1.2).16               2.479   0.0909171      2.30448     2.42058      2.4748     2.53746    2.66739   0.00348802
a_subj(1.0).17             1.75535   0.0798944      1.60696     1.69942     1.75478     1.80853    1.91512   0.00327384
a_subj(1.1).17              1.6407   0.0725358      1.50818     1.58821     1.63857     1.68948    1.79376   0.00319825
a_subj(1.2).17             1.63954   0.0766798      1.49691      1.5882     1.63667      1.6871    1.80411    0.0038642
a_subj(1.0).18             1.63652   0.0630345      1.51756     1.59337     1.63571      1.6779    1.76208   0.00262954
a_subj(1.1).18             2.07087   0.0932487      1.88898     2.00896     2.07175     2.13414    2.24918   0.00378338
a_subj(1.2).18              1.9191   0.0768149      1.77819     1.86423     1.91587     1.97225    2.07564   0.00295522
a_subj(1.0).19             1.16867   0.0457452      1.07957     1.13736     1.16813     1.20061    1.25535   0.00165309
a_subj(1.1).19             1.17433    0.048915      1.08462     1.14083     1.17357      1.2069    1.27306   0.00196249
a_subj(1.2).19              1.2272   0.0550619      1.12119     1.18965     1.22731     1.26417    1.33408   0.00232188
a_subj(1.0).20             1.62253   0.0481946      1.52997     1.58997     1.61947     1.65559    1.71876   0.00142854
a_subj(1.1).20             1.46426   0.0464084      1.37909     1.43223     1.46261     1.49492     1.5618   0.00145621
a_subj(1.2).20             1.35378   0.0386192      1.27936     1.32792     1.35322     1.37949    1.42851   0.00122846
a_subj(1.0).21             1.46945   0.0703606       1.3401     1.42112     1.46665     1.51434    1.61787   0.00283189
a_subj(1.1).21             1.35945   0.0642119      1.23867     1.31409     1.35663     1.40336     1.4903    0.0027553
a_subj(1.2).21             1.34177   0.0654065      1.22152     1.29619     1.33823     1.38456    1.47744   0.00282576
a_subj(1.0).22             1.27272   0.0899586      1.12087     1.21413     1.26241     1.32262    1.46169   0.00602262
a_subj(1.1).22             1.59046   0.0695937      1.46015     1.54409     1.58654     1.63535    1.73463   0.00293888
a_subj(1.2).22             1.21683   0.0574842       1.1173     1.17494     1.21472     1.25396    1.34016   0.00241483
a_subj(1.0).23             2.20109    0.188166      1.87345     2.07465     2.19045     2.31895    2.61104    0.0144673
a_subj(1.1).23             1.90854    0.142571      1.64975     1.81041     1.89834     1.99282    2.22903    0.0102688
a_subj(1.2).23             2.15785   0.0831814      2.00597     2.09865     2.15494     2.21708    2.32152   0.00306402
a_subj(1.0).24             2.75302    0.122596      2.52947     2.66677     2.74811     2.83485    2.99957    0.0051534
a_subj(1.1).24             2.64036    0.139214      2.37853     2.54746     2.63132     2.72739    2.93369   0.00713106
a_subj(1.2).24             2.24349    0.134151      1.99845     2.15056      2.2372     2.32987    2.53302   0.00735093
a_subj(1.0).25             3.04569   0.0930888      2.87331     2.98272     3.04374      3.1058    3.23282   0.00284296
a_subj(1.1).25             2.40629   0.0789957      2.24863     2.35478     2.40626     2.46047     2.5599   0.00297827
a_subj(1.2).25             2.25416   0.0760133      2.10528     2.20172      2.2537     2.30506     2.4022   0.00213638
a_subj(1.0).26              1.4692   0.0435007      1.38846     1.43889     1.46818     1.49924    1.55619   0.00122978
a_subj(1.1).26             1.40466   0.0547267      1.29418     1.36707     1.40342     1.44045     1.5147   0.00254677
a_subj(1.2).26             1.46485   0.0670822      1.34152     1.41807     1.46315      1.5086    1.60376   0.00308126
a_subj(1.0).27             1.23759   0.0345054      1.17231     1.21393     1.23727     1.25979    1.30856  0.000983436
a_subj(1.1).27             1.21594   0.0389871      1.14337     1.18944     1.21548      1.2425    1.29377   0.00145825
a_subj(1.2).27              1.4638   0.0357607      1.39546     1.43848     1.46322     1.48842    1.53485   0.00113255
a_subj(1.0).28             1.64912   0.0696712      1.52082     1.60099     1.64749     1.69626    1.79169   0.00275544
a_subj(1.1).28             1.95554   0.0750437      1.81825     1.90382     1.95179     2.00084    2.11299   0.00291977
a_subj(1.2).28             1.62624   0.0622913      1.50886     1.58245     1.62507     1.66736    1.75144    0.0021624
a_subj(1.0).29             2.11153   0.0703746      1.98181     2.06414     2.10951     2.15782    2.25634   0.00254911
a_subj(1.1).29             2.13805   0.0761969       1.9905     2.08693     2.13802     2.18914    2.29054   0.00267591
a_subj(1.2).29             1.86094   0.0562753      1.75675     1.82049     1.85952     1.89995    1.96802   0.00201096
a_subj(1.0).30             1.96586   0.0833812       1.8082      1.9085     1.96332     2.02448    2.13031   0.00340568
a_subj(1.1).30             1.87089   0.0841764      1.72256      1.8106     1.87003      1.9257    2.04805    0.0038884
a_subj(1.2).30             1.63591   0.0722742      1.50382     1.58555     1.63232     1.68335    1.78787   0.00313183
a_subj(1.0).31             2.48448    0.106875      2.28003     2.41157     2.48089     2.55486    2.70125   0.00453542
a_subj(1.1).31             2.74955    0.141832      2.47535     2.65565     2.74264     2.83925    3.04562   0.00657208
a_subj(1.2).31             3.04468    0.236527      2.64097     2.85226     3.03402     3.23134    3.48302    0.0189364
a_subj(1.0).32             2.31394   0.0583594      2.20415     2.27345     2.31289     2.35456    2.42865   0.00131765
a_subj(1.1).32              1.5402   0.0384276       1.4672     1.51368     1.53979       1.566    1.61787   0.00102389
a_subj(1.2).32             1.42803   0.0473188      1.33102     1.39831     1.42864     1.45842    1.52245   0.00215776
a_subj(1.0).33             2.21093    0.067959      2.08036     2.16432     2.20952     2.25835    2.34704   0.00180993
a_subj(1.0).34             1.71228   0.0399593      1.63798     1.68425      1.7114     1.74048    1.79192   0.00105533
