subj_code,subj_idx
neurOptimRevLearn_low_s001,1
neurOptimRevLearn_low_s002,2
neurOptimRevLearn_low_s003,3
neurOptimRevLearn_low_s004,4
neurOptimRevLearn_low_s005,5
neurOptimRevLearn_low_s007,6
neurOptimRevLearn_low_s008,7
neurOptimRevLearn_low_s009,8
neurOptimRevLearn_low_s011,9
neurOptimRevLearn_low_s012,10
neurOptimRevLearn_low_s013,11
neurOptimRevLearn_low_s014,12
neurOptimRevLearn_low_s015,13
neurOptimRevLearn_low_s016,14
neurOptimRevLearn_low_s017,15
neurOptimRevLearn_low_s018,16
neurOptimRevLearn_low_s019,17
neurOptimRevLearn_low_s020,18
neurOptimRevLearn_low_s022,19
neurOptimRevLearn_low_s023,20
neurOptimRevLearn_low_s024,21
neurOptimRevLearn_low_s025,22
neurOptimRevLearn_low_s026,23
neurOptimRevLearn_low_s027,24
neurOptimRevLearn_low_s028,25
neurOptimRevLearn_low_s029,26
neurOptimRevLearn_low_s030,27
neurOptimRevLearn_low_s031,28
neurOptimRevLearn_low_s032,29
neurOptimRevLearn_low_s034,30
neurOptimRevLearn_low_s035,31
neurOptimRevLearn_low_s036,32
neurOptimRevLearn_low_s037,33
neurOptimRevLearn_low_s038,34
neurOptimRevLearn_low_s040,35
neurOptimRevLearn_low_s041,36
neurOptimRevLearn_low_s042,37
neurOptimRevLearn_low_s043,38
neurOptimRevLearn_low_s101,39
neurOptimRevLearn_low_s102,40
neurOptimRevLearn_low_s103,41
neurOptimRevLearn_low_s104,42
neurOptimRevLearn_low_s105,43
neurOptimRevLearn_low_s107,44
neurOptimRevLearn_low_s108,45
neurOptimRevLearn_low_s109,46
neurOptimRevLearn_low_s110,47
neurOptimRevLearn_low_s111,48
neurOptimRevLearn_low_s112,49
neurOptimRevLearn_low_s113,50
neurOptimRevLearn_low_s114,51
