response,rt,trial,feedback,is_neuroptimal,block,q_init,split_by,time,subj_idx
0,0.749461400089786,1,1,1,0,0.5,2,0,1
0,0.568735599983484,2,1,1,0,0.5,2,0,1
0,0.703596499981359,3,1,1,0,0.5,2,0,1
0,0.63882019999437,4,1,1,0,0.5,2,0,1
0,0.613686600001529,5,1,1,0,0.5,2,0,1
0,0.539824599865824,6,1,1,0,0.5,2,0,1
0,0.569759499980137,7,1,1,0,0.5,2,0,1
0,0.56675780005753,8,1,1,0,0.5,2,0,1
0,0.525300800101832,9,1,1,0,0.5,2,0,1
0,0.776395800057799,10,1,1,0,0.5,2,0,1
0,0.617402700008825,11,1,1,0,0.5,2,0,1
0,0.687659899936989,12,1,1,0,0.5,2,0,1
0,0.70308390003629,13,1,1,0,0.5,2,0,1
0,0.590134500060231,14,1,1,0,0.5,2,0,1
0,0.568525200011209,15,1,1,0,0.5,2,0,1
0,0.66533079999499,16,1,1,0,0.5,2,0,1
0,0.712802499998361,17,1,1,0,0.5,2,0,1
0,0.716630399925634,18,1,1,0,0.5,2,0,1
0,0.769264800008386,19,1,1,0,0.5,2,0,1
0,0.521265799878165,20,1,1,0,0.5,2,0,1
0,0.514494200004265,21,1,1,0,0.5,2,0,1
0,0.693970100022852,22,1,1,0,0.5,2,0,1
0,0.476221499964595,23,1,1,0,0.5,2,0,1
0,0.616216300055385,24,1,1,0,0.5,2,0,1
0,0.679790900088847,25,1,1,0,0.5,2,0,1
0,0.560127899982035,26,1,1,0,0.5,2,0,1
0,0.72027530008927,27,1,1,0,0.5,2,0,1
0,1.36197830014862,28,0,1,0,0.5,2,0,1
0,0.955180899938568,29,1,1,0,0.5,2,0,1
0,0.71377499983646,30,1,1,0,0.5,2,0,1
0,0.510154800023884,31,1,1,0,0.5,2,0,1
0,0.447385500185192,32,1,1,0,0.5,2,0,1
0,0.586193299852312,33,1,1,0,0.5,2,0,1
0,0.715922599891201,34,1,1,0,0.5,2,0,1
0,0.633153599919751,35,1,1,0,0.5,2,0,1
0,0.779590899823234,36,0,1,0,0.5,2,0,1
1,0.937315999995917,37,0,1,0,0.5,2,0,1
0,0.478314599953592,38,1,1,0,0.5,2,0,1
