subject block trial unshuffledTrial goStop goNum threat img hand SSD DELTA gotResponse correctResp resp rt
9 1 1 129 stop 0 yes img1 1 0.233300 0.033300 1 0 no 1052
9 1 2 53 go 1 yes img1 1 0.233300 0.033300 1 1 no 1334
9 1 3 29 stop 0 yes img1 1 0.200000 0.000000 1 0 no 902
9 1 4 114 go 1 no img2 1 0.200000 0.000000 1 1 yes 979
9 1 5 78 go 1 no img2 1 0.200000 0.000000 1 1 yes 768
9 1 6 47 go 1 yes img1 1 0.200000 0.000000 1 1 no 464
9 1 7 84 go 1 no img2 1 0.200000 0.000000 1 1 yes 557
9 1 8 139 stop 0 yes img1 1 0.166700 -0.033300 0 1 NORESP 3000
9 1 9 124 go 1 no img2 1 0.166700 -0.033300 1 1 yes 1263
9 1 10 23 go 1 yes img1 1 0.166700 -0.033300 1 1 no 748
9 1 11 100 stop 0 no img2 1 0.200000 0.000000 0 1 NORESP 2999
9 1 12 118 go 1 no img2 1 0.200000 0.000000 1 1 yes 603
9 1 13 48 go 1 no img2 1 0.200000 0.000000 1 1 yes 992
9 1 14 57 go 1 yes img1 1 0.200000 0.000000 1 1 no 652
9 1 15 76 go 1 no img2 1 0.200000 0.000000 1 1 yes 1058
9 1 16 52 go 1 no img2 1 0.200000 0.000000 1 1 yes 652
9 1 17 75 go 1 yes img1 1 0.200000 0.000000 1 1 no 417
9 1 18 140 stop 0 no img2 1 0.233300 0.033300 0 1 NORESP 2999
9 1 19 30 stop 0 no img2 1 0.266600 0.066600 1 0 yes 668
9 1 20 110 stop 0 no img2 1 0.233300 0.033300 0 1 NORESP 2999
9 1 21 58 go 1 no img2 1 0.233300 0.033300 1 1 yes 740
9 1 22 50 stop 0 no img2 1 0.266600 0.066600 0 1 NORESP 2999
9 1 23 64 go 1 no img2 1 0.266600 0.066600 1 1 yes 812
9 1 24 4 go 1 no img2 1 0.266600 0.066600 1 1 yes 996
9 1 25 49 stop 0 yes img1 1 0.299900 0.099900 0 1 NORESP 3000
9 1 26 63 go 1 yes img1 1 0.299900 0.099900 1 1 no 548
9 1 27 38 go 1 no img2 1 0.299900 0.099900 1 1 yes 527
9 1 28 101 go 1 yes img1 1 0.299900 0.099900 1 1 no 675
9 1 29 72 go 1 no img2 1 0.299900 0.099900 1 1 yes 543
9 1 30 45 go 1 yes img1 1 0.299900 0.099900 1 1 no 470
