subject block trial unshuffledTrial goStop goNum threat img hand SSD DELTA gotResponse correctResp resp rt
14 1 1 74 go 1 no img2 1 0.000000 0.000000 1 1 yes 917
14 1 2 111 go 1 yes img1 1 0.000000 0.000000 1 1 no 414
14 1 3 132 go 1 no img2 1 0.000000 0.000000 1 1 yes 437
14 1 4 46 go 1 no img2 1 0.000000 0.000000 1 1 yes 431
14 1 5 57 go 1 yes img1 1 0.000000 0.000000 1 1 no 473
14 1 6 70 stop 0 no img2 1 0.233300 0.033300 1 0 yes 333
14 1 7 1 go 1 yes img1 1 0.233300 0.033300 1 1 no 612
14 1 8 60 stop 0 no img2 1 0.200000 0.000000 1 0 yes 354
14 1 9 47 go 1 yes img1 1 0.200000 0.000000 1 1 no 530
14 1 10 10 stop 0 no img2 1 0.166700 -0.033300 0 1 NORESP 1500
14 1 11 12 go 1 no img2 1 0.166700 -0.033300 1 1 yes 812
14 1 12 96 go 1 no img2 1 0.166700 -0.033300 1 1 yes 534
14 1 13 24 go 1 no img2 1 0.166700 -0.033300 1 1 yes 601
14 1 14 31 go 1 yes img1 1 0.166700 -0.033300 1 1 no 766
14 1 15 73 go 1 yes img1 1 0.166700 -0.033300 1 1 no 840
14 1 16 107 go 1 yes img1 1 0.166700 -0.033300 1 1 no 578
14 1 17 129 stop 0 yes img1 1 0.200000 0.000000 0 1 NORESP 1499
14 1 18 128 go 1 no img2 1 0.200000 0.000000 1 1 yes 708
14 1 19 38 go 1 no img2 1 0.200000 0.000000 1 1 yes 458
14 1 20 78 go 1 no img2 1 0.200000 0.000000 1 1 yes 493
14 1 21 62 go 1 no img2 1 0.200000 0.000000 1 1 yes 425
14 1 22 28 go 1 no img2 1 0.200000 0.000000 1 1 yes 355
14 1 23 124 go 1 no img2 1 0.200000 0.000000 1 1 yes 328
14 1 24 97 go 1 yes img1 1 0.200000 0.000000 1 1 no 495
14 1 25 84 go 1 no img2 1 0.200000 0.000000 1 1 yes 481
14 1 26 131 go 1 yes img1 1 0.200000 0.000000 1 1 no 404
14 1 27 105 go 1 yes img1 1 0.200000 0.000000 1 1 no 882
14 1 28 3 go 1 yes img1 1 0.200000 0.000000 1 1 no 735
14 1 29 56 go 1 no img2 1 0.200000 0.000000 1 1 yes 690
14 1 30 16 go 1 no img2 1 0.200000 0.000000 1 1 yes 534
14 1 31 7 go 1 yes img1 1 0.200000 0.000000 1 1 no 419
14 1 32 69 stop 0 yes img1 1 0.233300 0.033300 0 1 NORESP 1500
14 1 33 9 stop 0 yes img1 1 0.266600 0.066600 0 1 NORESP 1500
14 1 34 86 go 1 no img2 1 0.266600 0.066600 1 1 yes 458
14 1 35 61 go 1 yes img1 1 0.266600 0.066600 1 1 no 411
14 1 36 85 go 1 yes img1 1 0.266600 0.066600 1 1 no 527
14 1 37 32 go 1 no img2 1 0.266600 0.066600 1 1 yes 507
14 1 38 121 go 1 yes img1 1 0.266600 0.066600 1 1 no 414
14 1 39 21 go 1 yes img1 1 0.266600 0.066600 1 1 no 434
14 1 40 51 go 1 yes img1 1 0.266600 0.066600 1 1 no 418
14 1 41 120 stop 0 no img2 1 0.299900 0.099900 0 1 NORESP 1499
14 1 42 102 go 1 no img2 1 0.299900 0.099900 1 1 yes 591
14 1 43 83 go 1 yes img1 1 0.299900 0.099900 1 1 no 448
14 1 44 40 stop 0 no img2 1 0.333200 0.133200 0 1 NORESP 1499
14 1 45 71 go 1 yes img1 1 0.333200 0.133200 1 1 no 565
14 1 46 52 go 1 no img2 1 0.333200 0.133200 1 1 yes 588
14 1 47 100 stop 0 no img2 1 0.366500 0.166500 1 0 yes 616
14 1 48 11 go 1 yes img1 1 0.366500 0.166500 1 1 no 731
14 1 49 14 go 1 no img2 1 0.366500 0.166500 1 1 yes 935
14 1 50 126 go 1 no img2 1 0.366500 0.166500 1 1 yes 607
14 1 51 63 go 1 yes img1 1 0.366500 0.166500 1 1 no 587
14 1 52 65 go 1 yes img1 1 0.366500 0.166500 1 1 no 829
14 1 53 5 go 1 yes img1 1 0.366500 0.166500 1 1 no 706
14 1 54 115 go 1 yes img1 1 0.366500 0.166500 1 1 no 403
14 1 55 135 go 1 yes img1 1 0.366500 0.166500 1 1 no 480
14 1 56 136 go 1 no img2 1 0.366500 0.166500 1 1 yes 556
14 1 57 2 go 1 no img2 1 0.366500 0.166500 1 1 yes 894
14 1 58 112 go 1 no img2 1 0.366500 0.166500 1 1 yes 719
14 1 59 66 go 1 no img2 1 0.366500 0.166500 1 1 yes 457
14 1 60 82 go 1 no img2 1 0.366500 0.166500 1 1 yes 523
14 1 61 39 stop 0 yes img1 1 0.333200 0.133200 0 1 NORESP 1500
14 1 62 27 go 1 yes img1 1 0.333200 0.133200 1 1 no 520
14 1 63 23 go 1 yes img1 1 0.333200 0.133200 1 1 no 454
14 1 64 117 go 1 yes img1 1 0.333200 0.133200 1 1 no 356
14 1 65 106 go 1 no img2 1 0.333200 0.133200 1 1 yes 592
14 1 66 26 go 1 no img2 1 0.333200 0.133200 1 1 yes 375
14 1 67 29 stop 0 yes img1 1 0.366500 0.166500 0 1 NORESP 1500
14 1 68 68 go 1 no img2 1 0.366500 0.166500 1 1 yes 811
14 1 69 93 go 1 yes img1 1 0.366500 0.166500 1 1 no 817
14 1 70 79 stop 0 yes img1 1 0.399800 0.199800 0 1 NORESP 1499
14 1 71 99 stop 0 yes img1 1 0.433100 0.233100 1 0 no 735
14 1 72 72 go 1 no img2 1 0.433100 0.233100 1 1 yes 1240
14 1 73 138 go 1 no img2 1 0.433100 0.233100 1 1 yes 674
14 1 74 92 go 1 no img2 1 0.433100 0.233100 1 1 yes 586
14 1 75 43 go 1 yes img1 1 0.433100 0.233100 1 1 no 540
14 1 76 13 go 1 yes img1 1 0.433100 0.233100 1 1 no 576
14 1 77 137 go 1 yes img1 1 0.433100 0.233100 1 1 no 605
14 1 78 6 go 1 no img2 1 0.433100 0.233100 1 1 yes 620
14 1 79 54 go 1 no img2 1 0.433100 0.233100 1 1 yes 550
14 1 80 58 go 1 no img2 1 0.433100 0.233100 1 1 yes 469
14 1 81 134 go 1 no img2 1 0.433100 0.233100 1 1 yes 395
14 1 82 91 go 1 yes img1 1 0.433100 0.233100 1 1 no 784
14 1 83 103 go 1 yes img1 1 0.433100 0.233100 1 1 no 541
14 1 84 101 go 1 yes img1 1 0.433100 0.233100 1 1 no 738
14 1 85 41 go 1 yes img1 1 0.433100 0.233100 1 1 no 816
14 1 86 67 go 1 yes img1 1 0.433100 0.233100 1 1 no 346
14 1 87 76 go 1 no img2 1 0.433100 0.233100 1 1 yes 539
14 1 88 30 stop 0 no img2 1 0.399800 0.199800 0 1 NORESP 1500
14 1 89 53 go 1 yes img1 1 0.399800 0.199800 1 1 no 820
14 1 90 48 go 1 no img2 1 0.399800 0.199800 1 1 yes 645
14 1 91 113 go 1 yes img1 1 0.399800 0.199800 1 1 no 573
14 1 92 37 go 1 yes img1 1 0.399800 0.199800 1 1 no 754
14 1 93 118 go 1 no img2 1 0.399800 0.199800 1 1 yes 628
14 1 94 104 go 1 no img2 1 0.399800 0.199800 1 1 yes 705
14 1 95 87 go 1 yes img1 1 0.399800 0.199800 1 1 no 513
14 1 96 133 go 1 yes img1 1 0.399800 0.199800 1 1 no 593
14 1 97 8 go 1 no img2 1 0.399800 0.199800 1 1 yes 540
14 1 98 110 stop 0 no img2 1 0.433100 0.233100 1 0 yes 649
14 1 99 15 go 1 yes img1 1 0.433100 0.233100 1 1 no 654
14 1 100 127 go 1 yes img1 1 0.433100 0.233100 1 1 no 624
14 1 101 119 stop 0 yes img1 1 0.399800 0.199800 0 1 NORESP 1500
14 1 102 4 go 1 no img2 1 0.399800 0.199800 1 1 yes 626
14 1 103 34 go 1 no img2 1 0.399800 0.199800 1 1 yes 616
