subject block trial unshuffledTrial goStop goNum threat img hand SSD DELTA gotResponse correctResp resp rt
2 1 1 8 go 1 no img2 1 0.000000 0.000000 1 1 yes 844
2 1 2 63 go 1 yes img1 1 0.000000 0.000000 1 1 no 514
2 1 3 16 go 1 no img2 1 0.000000 0.000000 1 1 yes 460
2 1 4 96 go 1 no img2 1 0.000000 0.000000 1 1 no 332
2 1 5 68 go 1 no img2 1 0.000000 0.000000 1 1 yes 659
2 1 6 38 go 1 no img2 1 0.000000 0.000000 1 1 yes 371
2 1 7 19 stop 0 yes img1 1 0.233300 0.033300 1 0 no 465
2 1 8 23 go 1 yes img1 1 0.233300 0.033300 0 0 NORESP 1499
2 1 9 35 go 1 yes img1 1 0.233300 0.033300 1 1 no 2
2 1 10 119 stop 0 yes img1 1 0.200000 0.000000 1 0 no 731
2 1 11 75 go 1 yes img1 1 0.200000 0.000000 0 0 NORESP 1500
2 1 12 110 stop 0 no img2 1 0.166700 -0.033300 0 1 NORESP 1499
2 1 13 112 go 1 no img2 1 0.166700 -0.033300 1 1 yes 1
2 1 14 139 stop 0 yes img1 1 0.200000 0.000000 1 0 no 819
2 1 15 103 go 1 yes img1 1 0.200000 0.000000 1 1 no 1006
2 1 16 104 go 1 no img2 1 0.200000 0.000000 1 1 no 427
2 1 17 40 stop 0 no img2 1 0.166700 -0.033300 1 0 yes 626
2 1 18 44 go 1 no img2 1 0.166700 -0.033300 1 1 yes 1042
2 1 19 54 go 1 no img2 1 0.166700 -0.033300 1 1 yes 575
2 1 20 113 go 1 yes img1 1 0.166700 -0.033300 1 1 no 525
2 1 21 106 go 1 no img2 1 0.166700 -0.033300 1 1 yes 535
2 1 22 95 go 1 yes img1 1 0.166700 -0.033300 1 1 no 661
2 1 23 128 go 1 no img2 1 0.166700 -0.033300 1 1 yes 442
2 1 24 127 go 1 yes img1 1 0.166700 -0.033300 1 1 no 483
2 1 25 71 go 1 yes img1 1 0.166700 -0.033300 1 1 no 384
2 1 26 108 go 1 no img2 1 0.166700 -0.033300 1 1 no 316
2 1 27 24 go 1 no img2 1 0.166700 -0.033300 1 1 yes 521
2 1 28 14 go 1 no img2 1 0.166700 -0.033300 1 1 yes 519
2 1 29 29 stop 0 yes img1 1 0.133400 -0.066600 1 0 no 1496
2 1 30 83 go 1 yes img1 1 0.133400 -0.066600 1 1 no 420
2 1 31 132 go 1 no img2 1 0.133400 -0.066600 1 1 yes 550
2 1 32 136 go 1 no img2 1 0.133400 -0.066600 1 1 yes 452
2 1 33 60 stop 0 no img2 1 0.100100 -0.099900 1 0 yes 525
2 1 34 82 go 1 no img2 1 0.100100 -0.099900 1 1 no 430
2 1 35 109 stop 0 yes img1 1 0.066800 -0.133200 1 0 no 520
2 1 36 9 stop 0 yes img1 1 0.033500 -0.166500 1 0 no 383
2 1 37 89 stop 0 yes img1 1 0.000200 -0.199800 0 1 NORESP 1499
2 1 38 129 stop 0 yes img1 1 0.033500 -0.166500 1 0 no 515
2 1 39 53 go 1 yes img1 1 0.033500 -0.166500 1 1 no 1089
2 1 40 107 go 1 yes img1 1 0.033500 -0.166500 1 1 no 632
2 1 41 59 stop 0 yes img1 1 0.000200 -0.199800 1 0 no 1205
2 1 42 66 go 1 no img2 1 0.000200 -0.199800 1 1 yes 559
2 1 43 92 go 1 no img2 1 0.000200 -0.199800 1 1 yes 361
2 1 44 13 go 1 yes img1 1 0.000200 -0.199800 1 1 yes 276
2 1 45 7 go 1 yes img1 1 0.000200 -0.199800 1 1 no 478
2 1 46 86 go 1 no img2 1 0.000200 -0.199800 1 1 yes 606
2 1 47 134 go 1 no img2 1 0.000200 -0.199800 1 1 yes 392
2 1 48 52 go 1 no img2 1 0.000200 -0.199800 1 1 yes 611
2 1 49 79 stop 0 yes img1 1 -0.033100 -0.233100 1 0 no 634
2 1 50 65 go 1 yes img1 1 -0.033100 -0.233100 1 1 no 484
2 1 51 28 go 1 no img2 1 -0.033100 -0.233100 1 1 yes 725
2 1 52 45 go 1 yes img1 1 -0.033100 -0.233100 1 1 no 657
