subject block trial unshuffledTrial goStop goNum threat img hand SSD DELTA gotResponse correctResp resp rt
13 1 1 78 go 1 no img2 1 0.000000 0.000000 1 1 yes 993
13 1 2 39 stop 0 yes img1 1 0.233300 0.033300 1 0 no 624
13 1 3 6 go 1 no img2 1 0.233300 0.033300 0 0 NORESP 1500
13 1 4 118 go 1 no img2 1 0.233300 0.033300 1 1 yes 637
13 1 5 70 stop 0 no img2 1 0.200000 0.000000 0 1 NORESP 1500
13 1 6 19 stop 0 yes img1 1 0.233300 0.033300 1 0 no 430
13 1 7 60 stop 0 no img2 1 0.200000 0.000000 1 0 yes 590
13 1 8 74 go 1 no img2 1 0.200000 0.000000 1 1 yes 1137
13 1 9 91 go 1 yes img1 1 0.200000 0.000000 1 1 no 1161
13 1 10 76 go 1 no img2 1 0.200000 0.000000 1 1 yes 639
13 1 11 35 go 1 yes img1 1 0.200000 0.000000 1 1 no 666
13 1 12 106 go 1 no img2 1 0.200000 0.000000 1 1 yes 1176
13 1 13 117 go 1 yes img1 1 0.200000 0.000000 1 1 no 665
13 1 14 130 stop 0 no img2 1 0.166700 -0.033300 0 1 NORESP 1500
13 1 15 47 go 1 yes img1 1 0.166700 -0.033300 1 1 no 648
13 1 16 66 go 1 no img2 1 0.166700 -0.033300 1 1 yes 1151
13 1 17 135 go 1 yes img1 1 0.166700 -0.033300 1 1 no 697
13 1 18 62 go 1 no img2 1 0.166700 -0.033300 1 1 yes 999
13 1 19 41 go 1 yes img1 1 0.166700 -0.033300 1 1 no 816
13 1 20 124 go 1 no img2 1 0.166700 -0.033300 1 1 yes 565
13 1 21 51 go 1 yes img1 1 0.166700 -0.033300 1 1 no 732
13 1 22 27 go 1 yes img1 1 0.166700 -0.033300 0 0 NORESP 1500
13 1 23 33 go 1 yes img1 1 0.166700 -0.033300 1 1 no 1026
13 1 24 28 go 1 no img2 1 0.166700 -0.033300 1 1 yes 763
13 1 25 12 go 1 no img2 1 0.166700 -0.033300 1 1 yes 978
13 1 26 133 go 1 yes img1 1 0.166700 -0.033300 1 1 no 773
13 1 27 121 go 1 yes img1 1 0.166700 -0.033300 1 1 no 1068
13 1 28 54 go 1 no img2 1 0.166700 -0.033300 1 1 yes 914
13 1 29 21 go 1 yes img1 1 0.166700 -0.033300 1 1 no 444
13 1 30 90 stop 0 no img2 1 0.200000 0.000000 1 0 yes 885
13 1 31 116 go 1 no img2 1 0.200000 0.000000 0 0 NORESP 1499
13 1 32 3 go 1 yes img1 1 0.200000 0.000000 1 1 no 522
13 1 33 82 go 1 no img2 1 0.200000 0.000000 1 1 yes 651
