subject block trial unshuffledTrial goStop goNum threat img hand SSD DELTA gotResponse correctResp resp rt
4 1 1 50 stop 0 no img2 1 0.233300 0.033300 1 0 no -1549
4 1 2 51 go 1 yes img1 1 0.233300 0.033300 0 0 NORESP 1999
4 1 3 126 go 1 no img2 1 0.233300 0.033300 0 0 NORESP 1999
4 1 4 104 go 1 no img2 1 0.233300 0.033300 0 0 NORESP 2000
4 1 5 10 stop 0 no img2 1 0.200000 0.000000 0 1 NORESP 1999
4 1 6 5 go 1 yes img1 1 0.200000 0.000000 0 0 NORESP 1999
4 1 7 67 go 1 yes img1 1 0.200000 0.000000 1 1 yes 948
4 1 8 78 go 1 no img2 1 0.200000 0.000000 1 1 yes 1009
4 1 9 34 go 1 no img2 1 0.200000 0.000000 1 1 yes 1113
4 1 10 130 stop 0 no img2 1 0.233300 0.033300 0 1 NORESP 1999
4 1 11 92 go 1 no img2 1 0.233300 0.033300 1 1 yes 1
4 1 12 65 go 1 yes img1 1 0.233300 0.033300 1 1 no 1126
4 1 13 132 go 1 no img2 1 0.233300 0.033300 1 1 yes 1250
4 1 14 42 go 1 no img2 1 0.233300 0.033300 1 1 yes 978
4 1 15 122 go 1 no img2 1 0.233300 0.033300 1 1 yes 915
4 1 16 1 go 1 yes img1 1 0.233300 0.033300 1 1 no 689
4 1 17 6 go 1 no img2 1 0.233300 0.033300 1 1 yes 480
4 1 18 66 go 1 no img2 1 0.233300 0.033300 1 1 yes 737
4 1 19 77 go 1 yes img1 1 0.233300 0.033300 1 1 no 689
4 1 20 139 stop 0 yes img1 1 0.266600 0.066600 1 0 no 849
4 1 21 105 go 1 yes img1 1 0.266600 0.066600 1 1 no 1275
4 1 22 112 go 1 no img2 1 0.266600 0.066600 1 1 yes 774
4 1 23 137 go 1 yes img1 1 0.266600 0.066600 1 1 no 860
4 1 24 123 go 1 yes img1 1 0.266600 0.066600 1 1 no 875
4 1 25 131 go 1 yes img1 1 0.266600 0.066600 1 1 no 756
