subject block trial unshuffledTrial goStop goNum threat img hand SSD DELTA gotResponse correctResp resp rt
5 1 1 61 go 1 yes img1 1 0.000000 0.000000 1 1 no 2777
5 1 2 132 go 1 no img2 1 0.000000 0.000000 1 1 yes 4377
5 1 3 58 go 1 no img2 1 0.000000 0.000000 1 1 yes 3851
5 1 4 17 go 1 yes img1 1 0.000000 0.000000 1 1 no 3753
5 1 5 44 go 1 no img2 1 0.000000 0.000000 1 1 yes 5030
5 1 6 84 go 1 no img2 1 0.000000 0.000000 1 1 yes 5530
5 1 7 95 go 1 yes img1 1 0.000000 0.000000 1 1 no 2803
5 1 8 32 go 1 no img2 1 0.000000 0.000000 1 1 yes 4299
5 1 9 101 go 1 yes img1 1 0.000000 0.000000 1 1 no 1982
5 1 10 65 go 1 yes img1 1 0.000000 0.000000 1 1 no 2658
5 1 11 33 go 1 yes img1 1 0.000000 0.000000 0 0 NORESP 5999
5 1 12 39 stop 0 yes img1 1 0.233300 0.033300 0 1 NORESP 5999
5 1 13 127 go 1 yes img1 1 0.233300 0.033300 0 0 NORESP 5999
5 1 14 42 go 1 no img2 1 0.233300 0.033300 1 1 yes 4190
5 1 15 87 go 1 yes img1 1 0.233300 0.033300 1 1 no 2119
5 1 16 55 go 1 yes img1 1 0.233300 0.033300 1 1 no 2419
5 1 17 67 go 1 yes img1 1 0.233300 0.033300 1 1 no 4170
5 1 18 125 go 1 yes img1 1 0.233300 0.033300 1 1 no 3199
5 1 19 74 go 1 no img2 1 0.233300 0.033300 1 1 yes 4323
5 1 20 13 go 1 yes img1 1 0.233300 0.033300 1 1 no 3731
5 1 21 73 go 1 yes img1 1 0.233300 0.033300 0 0 NORESP 5999
5 1 22 138 go 1 no img2 1 0.233300 0.033300 1 1 yes 2880
5 1 23 7 go 1 yes img1 1 0.233300 0.033300 1 1 no 879
5 1 24 85 go 1 yes img1 1 0.233300 0.033300 1 1 no 2362
5 1 25 28 go 1 no img2 1 0.233300 0.033300 1 1 yes 1267
5 1 26 130 stop 0 no img2 1 0.266600 0.066600 1 0 no 331
5 1 27 60 stop 0 no img2 1 0.233300 0.033300 0 1 NORESP 6000
5 1 28 140 stop 0 no img2 1 0.266600 0.066600 0 1 NORESP 5999
5 1 29 43 go 1 yes img1 1 0.266600 0.066600 1 1 no 5948
5 1 30 12 go 1 no img2 1 0.266600 0.066600 1 1 yes 1440
5 1 31 89 stop 0 yes img1 1 0.299900 0.099900 1 0 no 1016
5 1 32 18 go 1 no img2 1 0.299900 0.099900 1 1 yes 960
5 1 33 97 go 1 yes img1 1 0.299900 0.099900 1 1 no 843
5 1 34 37 go 1 yes img1 1 0.299900 0.099900 1 1 no 2987
5 1 35 78 go 1 no img2 1 0.299900 0.099900 1 1 yes 3391
5 1 36 20 stop 0 no img2 1 0.266600 0.066600 1 0 yes 4822
5 1 37 5 go 1 yes img1 1 0.266600 0.066600 1 1 no 1169
5 1 38 29 stop 0 yes img1 1 0.233300 0.033300 0 1 NORESP 6000
5 1 39 25 go 1 yes img1 1 0.233300 0.033300 1 1 no 4494
5 1 40 72 go 1 no img2 1 0.233300 0.033300 1 1 yes 1101
5 1 41 51 go 1 yes img1 1 0.233300 0.033300 1 1 no 1593
5 1 42 134 go 1 no img2 1 0.233300 0.033300 1 1 yes 1301
5 1 43 10 stop 0 no img2 1 0.266600 0.066600 1 0 yes 2699
5 1 44 108 go 1 no img2 1 0.266600 0.066600 1 1 yes 2452
5 1 45 26 go 1 no img2 1 0.266600 0.066600 1 1 yes 3917
5 1 46 48 go 1 no img2 1 0.266600 0.066600 1 1 yes 4305
5 1 47 137 go 1 yes img1 1 0.266600 0.066600 1 1 yes 3965
5 1 48 15 go 1 yes img1 1 0.266600 0.066600 0 0 NORESP 5999
5 1 49 30 stop 0 no img2 1 0.233300 0.033300 1 0 yes 3356
5 1 50 47 go 1 yes img1 1 0.233300 0.033300 1 1 no 1348
5 1 51 69 stop 0 yes img1 1 0.200000 0.000000 1 0 yes 2054
5 1 52 50 stop 0 no img2 1 0.166700 -0.033300 1 0 yes 2387
5 1 53 52 go 1 no img2 1 0.166700 -0.033300 1 1 yes 2554
5 1 54 124 go 1 no img2 1 0.166700 -0.033300 1 1 yes 2803
5 1 55 71 go 1 yes img1 1 0.166700 -0.033300 1 1 no 1866
5 1 56 102 go 1 no img2 1 0.166700 -0.033300 1 1 yes 1387
5 1 57 107 go 1 yes img1 1 0.166700 -0.033300 1 1 no 1057
5 1 58 81 go 1 yes img1 1 0.166700 -0.033300 0 0 NORESP 6000
5 1 59 109 stop 0 yes img1 1 0.133400 -0.066600 1 0 no 2828
5 1 60 114 go 1 no img2 1 0.133400 -0.066600 0 0 NORESP 6000
5 1 61 59 stop 0 yes img1 1 0.100100 -0.099900 1 0 no 3654
5 1 62 75 go 1 yes img1 1 0.100100 -0.099900 1 1 no 2471
