subject block trial unshuffledTrial goStop goNum threat img hand SSD DELTA gotResponse correctResp resp rt
7 1 1 33 go 1 yes img1 1 0.000000 0.000000 1 1 no 524
7 1 2 132 go 1 no img2 1 0.000000 0.000000 1 1 yes 529
7 1 3 127 go 1 yes img1 1 0.000000 0.000000 1 1 no 458
7 1 4 52 go 1 no img2 1 0.000000 0.000000 1 1 yes 348
7 1 5 51 go 1 yes img1 1 0.000000 0.000000 1 1 no 592
7 1 6 57 go 1 yes img1 1 0.000000 0.000000 1 1 yes 321
7 1 7 44 go 1 no img2 1 0.000000 0.000000 1 1 yes 522
7 1 8 88 go 1 no img2 1 0.000000 0.000000 1 1 yes 592
7 1 9 75 go 1 yes img1 1 0.000000 0.000000 1 1 yes 392
7 1 10 27 go 1 yes img1 1 0.000000 0.000000 1 1 no 582
7 1 11 34 go 1 no img2 1 0.000000 0.000000 1 1 yes 574
7 1 12 23 go 1 yes img1 1 0.000000 0.000000 1 1 no 532
7 1 13 102 go 1 no img2 1 0.000000 0.000000 1 1 yes 409
7 1 14 110 stop 0 no img2 1 0.233300 0.033300 0 1 NORESP 2999
7 1 15 35 go 1 yes img1 1 0.233300 0.033300 1 1 no 782
7 1 16 86 go 1 no img2 1 0.233300 0.033300 1 1 yes 1071
7 1 17 138 go 1 no img2 1 0.233300 0.033300 1 1 yes 550
7 1 18 2 go 1 no img2 1 0.233300 0.033300 1 1 yes 579
7 1 19 89 stop 0 yes img1 1 0.266600 0.066600 1 0 no 570
7 1 20 19 stop 0 yes img1 1 0.233300 0.033300 0 1 NORESP 3000
7 1 21 90 stop 0 no img2 1 0.266600 0.066600 1 0 yes 474
7 1 22 91 go 1 yes img1 1 0.266600 0.066600 1 1 no 739
7 1 23 80 stop 0 no img2 1 0.233300 0.033300 1 0 yes 409
7 1 24 10 stop 0 no img2 1 0.200000 0.000000 0 1 NORESP 3000
7 1 25 113 go 1 yes img1 1 0.200000 0.000000 1 1 no 474
7 1 26 140 stop 0 no img2 1 0.233300 0.033300 1 0 yes 412
7 1 27 124 go 1 no img2 1 0.233300 0.033300 1 1 yes 828
7 1 28 58 go 1 no img2 1 0.233300 0.033300 1 1 yes 397
7 1 29 70 stop 0 no img2 1 0.200000 0.000000 1 0 yes 388
7 1 30 4 go 1 no img2 1 0.200000 0.000000 1 1 yes 640
7 1 31 101 go 1 yes img1 1 0.200000 0.000000 1 1 yes 849
7 1 32 53 go 1 yes img1 1 0.200000 0.000000 1 1 no 1109
7 1 33 128 go 1 no img2 1 0.200000 0.000000 1 1 yes 688
7 1 34 97 go 1 yes img1 1 0.200000 0.000000 1 1 no 454
7 1 35 115 go 1 yes img1 1 0.200000 0.000000 1 1 yes 436
7 1 36 139 stop 0 yes img1 1 0.166700 -0.033300 1 0 yes 518
7 1 37 69 stop 0 yes img1 1 0.133400 -0.066600 0 1 NORESP 3000
7 1 38 36 go 1 no img2 1 0.133400 -0.066600 1 1 yes 562
7 1 39 1 go 1 yes img1 1 0.133400 -0.066600 1 1 no 579
7 1 40 123 go 1 yes img1 1 0.133400 -0.066600 1 1 no 561
7 1 41 130 stop 0 no img2 1 0.166700 -0.033300 0 1 NORESP 2999
7 1 42 26 go 1 no img2 1 0.166700 -0.033300 1 1 yes 576
7 1 43 98 go 1 no img2 1 0.166700 -0.033300 1 1 yes 679
7 1 44 135 go 1 yes img1 1 0.166700 -0.033300 1 1 no 614
7 1 45 37 go 1 yes img1 1 0.166700 -0.033300 1 1 no 567
7 1 46 103 go 1 yes img1 1 0.166700 -0.033300 1 1 no 371
7 1 47 9 stop 0 yes img1 1 0.200000 0.000000 0 1 NORESP 3000
7 1 48 12 go 1 no img2 1 0.200000 0.000000 1 1 yes 713
7 1 49 56 go 1 no img2 1 0.200000 0.000000 1 1 yes 461
7 1 50 28 go 1 no img2 1 0.200000 0.000000 1 1 yes 565
7 1 51 100 stop 0 no img2 1 0.233300 0.033300 1 0 yes 520
7 1 52 18 go 1 no img2 1 0.233300 0.033300 1 1 yes 630
7 1 53 122 go 1 no img2 1 0.233300 0.033300 1 1 yes 386
7 1 54 83 go 1 yes img1 1 0.233300 0.033300 1 1 no 501
7 1 55 32 go 1 no img2 1 0.233300 0.033300 1 1 no 551
7 1 56 5 go 1 yes img1 1 0.233300 0.033300 1 1 no 679
7 1 57 129 stop 0 yes img1 1 0.200000 0.000000 0 1 NORESP 2999
7 1 58 54 go 1 no img2 1 0.200000 0.000000 1 1 yes 417
7 1 59 3 go 1 yes img1 1 0.200000 0.000000 1 1 no 429
7 1 60 73 go 1 yes img1 1 0.200000 0.000000 1 1 no 606
7 1 61 13 go 1 yes img1 1 0.200000 0.000000 1 1 yes 648
7 1 62 46 go 1 no img2 1 0.200000 0.000000 1 1 yes 865
7 1 63 47 go 1 yes img1 1 0.200000 0.000000 1 1 no 826
7 1 64 41 go 1 yes img1 1 0.200000 0.000000 1 1 no 872
7 1 65 93 go 1 yes img1 1 0.200000 0.000000 1 1 yes 1193
7 1 66 45 go 1 yes img1 1 0.200000 0.000000 1 1 no 681
7 1 67 96 go 1 no img2 1 0.200000 0.000000 1 1 yes 612
7 1 68 133 go 1 yes img1 1 0.200000 0.000000 1 1 no 768
7 1 69 65 go 1 yes img1 1 0.200000 0.000000 1 1 no 803
7 1 70 99 stop 0 yes img1 1 0.233300 0.033300 1 0 no 425
7 1 71 104 go 1 no img2 1 0.233300 0.033300 1 1 yes 912
7 1 72 85 go 1 yes img1 1 0.233300 0.033300 1 1 no 612
7 1 73 106 go 1 no img2 1 0.233300 0.033300 1 1 yes 766
7 1 74 14 go 1 no img2 1 0.233300 0.033300 1 1 yes 905
7 1 75 81 go 1 yes img1 1 0.233300 0.033300 1 1 no 755
7 1 76 30 stop 0 no img2 1 0.200000 0.000000 0 1 NORESP 3000
7 1 77 39 stop 0 yes img1 1 0.233300 0.033300 0 1 NORESP 2999
7 1 78 105 go 1 yes img1 1 0.233300 0.033300 1 1 no 504
7 1 79 55 go 1 yes img1 1 0.233300 0.033300 1 1 no 589
7 1 80 84 go 1 no img2 1 0.233300 0.033300 1 1 yes 706
7 1 81 43 go 1 yes img1 1 0.233300 0.033300 1 1 no 537
7 1 82 78 go 1 no img2 1 0.233300 0.033300 1 1 yes 515
7 1 83 116 go 1 no img2 1 0.233300 0.033300 1 1 yes 754
7 1 84 64 go 1 no img2 1 0.233300 0.033300 1 1 yes 651
7 1 85 112 go 1 no img2 1 0.233300 0.033300 1 1 yes 643
7 1 86 49 stop 0 yes img1 1 0.266600 0.066600 1 0 no 477
7 1 87 109 stop 0 yes img1 1 0.233300 0.033300 0 1 NORESP 3000
7 1 88 74 go 1 no img2 1 0.233300 0.033300 1 1 yes 462
7 1 89 82 go 1 no img2 1 0.233300 0.033300 1 1 yes 602
7 1 90 8 go 1 no img2 1 0.233300 0.033300 1 1 yes 619
7 1 91 107 go 1 yes img1 1 0.233300 0.033300 1 1 no 685
7 1 92 118 go 1 no img2 1 0.233300 0.033300 1 1 yes 442
7 1 93 119 stop 0 yes img1 1 0.266600 0.066600 1 0 no 423
7 1 94 22 go 1 no img2 1 0.266600 0.066600 1 1 yes 519
7 1 95 121 go 1 yes img1 1 0.266600 0.066600 1 1 no 489
7 1 96 136 go 1 no img2 1 0.266600 0.066600 1 1 yes 492
7 1 97 29 stop 0 yes img1 1 0.233300 0.033300 1 0 no 455
7 1 98 48 go 1 no img2 1 0.233300 0.033300 1 1 yes 626
7 1 99 59 stop 0 yes img1 1 0.200000 0.000000 0 1 NORESP 3000
7 1 100 17 go 1 yes img1 1 0.200000 0.000000 1 1 no 699
7 1 101 94 go 1 no img2 1 0.200000 0.000000 1 1 yes 685
7 1 102 92 go 1 no img2 1 0.200000 0.000000 1 1 yes 727
7 1 103 120 stop 0 no img2 1 0.233300 0.033300 1 0 yes 675
7 1 104 71 go 1 yes img1 1 0.233300 0.033300 1 1 no 612
7 1 105 126 go 1 no img2 1 0.233300 0.033300 1 1 yes 736
7 1 106 87 go 1 yes img1 1 0.233300 0.033300 1 1 no 563
7 1 107 42 go 1 no img2 1 0.233300 0.033300 1 1 yes 377
7 1 108 40 stop 0 no img2 1 0.200000 0.000000 0 1 NORESP 2999
7 1 109 60 stop 0 no img2 1 0.233300 0.033300 0 1 NORESP 2999
7 1 110 117 go 1 yes img1 1 0.233300 0.033300 1 1 no 534
7 1 111 25 go 1 yes img1 1 0.233300 0.033300 1 1 no 586
7 1 112 68 go 1 no img2 1 0.233300 0.033300 1 1 yes 831
7 1 113 131 go 1 yes img1 1 0.233300 0.033300 1 1 no 679
7 1 114 67 go 1 yes img1 1 0.233300 0.033300 1 1 no 503
7 1 115 61 go 1 yes img1 1 0.233300 0.033300 1 1 no 743
7 1 116 79 stop 0 yes img1 1 0.266600 0.066600 0 1 NORESP 3000
7 1 117 72 go 1 no img2 1 0.266600 0.066600 1 1 yes 407
7 1 118 62 go 1 no img2 1 0.266600 0.066600 1 1 yes 669
7 1 119 7 go 1 yes img1 1 0.266600 0.066600 1 1 no 617
7 1 120 21 go 1 yes img1 1 0.266600 0.066600 1 1 yes 408
7 1 121 38 go 1 no img2 1 0.266600 0.066600 1 1 no 673
7 1 122 50 stop 0 no img2 1 0.299900 0.099900 0 1 NORESP 2999
7 1 123 6 go 1 no img2 1 0.299900 0.099900 1 1 yes 667
7 1 124 20 stop 0 no img2 1 0.333200 0.133200 1 0 yes 578
7 1 125 16 go 1 no img2 1 0.333200 0.133200 1 1 yes 602
7 1 126 11 go 1 yes img1 1 0.333200 0.133200 1 1 yes 746
7 1 127 24 go 1 no img2 1 0.333200 0.133200 1 1 yes 857
7 1 128 95 go 1 yes img1 1 0.333200 0.133200 1 1 no 676
7 1 129 31 go 1 yes img1 1 0.333200 0.133200 1 1 no 608
7 1 130 76 go 1 no img2 1 0.333200 0.133200 1 1 yes 706
7 1 131 137 go 1 yes img1 1 0.333200 0.133200 1 1 no 521
7 1 132 111 go 1 yes img1 1 0.333200 0.133200 1 1 no 616
7 1 133 77 go 1 yes img1 1 0.333200 0.133200 1 1 no 496
7 1 134 108 go 1 no img2 1 0.333200 0.133200 1 1 yes 508
7 1 135 63 go 1 yes img1 1 0.333200 0.133200 1 1 no 550
7 1 136 15 go 1 yes img1 1 0.333200 0.133200 1 1 no 733
7 1 137 134 go 1 no img2 1 0.333200 0.133200 1 1 yes 1002
7 1 138 125 go 1 yes img1 1 0.333200 0.133200 1 1 no 563
7 1 139 114 go 1 no img2 1 0.333200 0.133200 1 1 yes 685
7 1 140 66 go 1 no img2 1 0.333200 0.133200 1 1 yes 781
