subject block trial unshuffledTrial goStop goNum threat img hand SSD DELTA gotResponse correctResp resp rt
1 1 1 4 go 1 no img2 1 0.000000 0.000000 1 1 yes 448
1 1 2 5 go 1 yes img1 1 0.000000 0.000000 1 1 no 337
1 1 3 131 go 1 yes img1 1 0.000000 0.000000 1 1 no 373
1 1 4 87 go 1 yes img1 1 0.000000 0.000000 1 1 no 360
1 1 5 100 stop 0 no img2 1 0.233300 0.033300 1 0 yes 467
1 1 6 49 stop 0 yes img1 1 0.200000 0.000000 0 1 NORESP 1499
1 1 7 27 go 1 yes img1 1 0.200000 0.000000 1 1 no 502
1 1 8 126 go 1 no img2 1 0.200000 0.000000 1 1 yes 501
1 1 9 104 go 1 no img2 1 0.200000 0.000000 1 1 yes 403
1 1 10 29 stop 0 yes img1 1 0.233300 0.033300 0 1 NORESP 1500
1 1 11 8 go 1 no img2 1 0.233300 0.033300 1 1 yes 527
1 1 12 119 stop 0 yes img1 1 0.266600 0.066600 1 0 no 364
1 1 13 61 go 1 yes img1 1 0.266600 0.066600 1 1 no 551
1 1 14 51 go 1 yes img1 1 0.266600 0.066600 1 1 no 496
1 1 15 68 go 1 no img2 1 0.266600 0.066600 1 1 yes 676
1 1 16 125 go 1 yes img1 1 0.266600 0.066600 1 1 no 366
1 1 17 140 stop 0 no img2 1 0.233300 0.033300 1 0 yes 366
1 1 18 65 go 1 yes img1 1 0.233300 0.033300 1 1 no 425
1 1 19 94 go 1 no img2 1 0.233300 0.033300 1 1 yes 470
1 1 20 62 go 1 no img2 1 0.233300 0.033300 1 1 yes 437
1 1 21 25 go 1 yes img1 1 0.233300 0.033300 1 1 no 341
1 1 22 30 stop 0 no img2 1 0.200000 0.000000 0 1 NORESP 1499
1 1 23 112 go 1 no img2 1 0.200000 0.000000 1 1 yes 420
1 1 24 32 go 1 no img2 1 0.200000 0.000000 1 1 yes 345
1 1 25 128 go 1 no img2 1 0.200000 0.000000 1 1 yes 341
1 1 26 20 stop 0 no img2 1 0.233300 0.033300 1 0 yes 342
1 1 27 69 stop 0 yes img1 1 0.200000 0.000000 0 1 NORESP 1499
