subject block trial unshuffledTrial goStop goNum threat img hand SSD DELTA gotResponse correctResp resp rt
3 1 1 90 stop 0 no img2 1 0.233300 0.033300 1 0 yes 1937
3 1 2 116 go 1 no img2 1 0.233300 0.033300 0 0 NORESP 2000
3 1 3 139 stop 0 yes img1 1 0.200000 0.000000 1 0 yes 1237
3 1 4 108 go 1 no img2 1 0.200000 0.000000 1 1 no 1291
3 1 5 75 go 1 yes img1 1 0.200000 0.000000 0 0 NORESP 1999
3 1 6 36 go 1 no img2 1 0.200000 0.000000 0 0 NORESP 1999
3 1 7 87 go 1 yes img1 1 0.200000 0.000000 0 0 NORESP 1999
3 1 8 134 go 1 no img2 1 0.200000 0.000000 0 0 NORESP 2000
3 1 9 104 go 1 no img2 1 0.200000 0.000000 0 0 NORESP 2000
3 1 10 89 stop 0 yes img1 1 0.166700 -0.033300 0 1 NORESP 1999
3 1 11 50 stop 0 no img2 1 0.200000 0.000000 0 1 NORESP 1999
3 1 12 45 go 1 yes img1 1 0.200000 0.000000 0 0 NORESP 1999
3 1 13 70 stop 0 no img2 1 0.233300 0.033300 0 1 NORESP 1999
3 1 14 83 go 1 yes img1 1 0.233300 0.033300 0 0 NORESP 1999
3 1 15 13 go 1 yes img1 1 0.233300 0.033300 1 1 no 1784
3 1 16 86 go 1 no img2 1 0.233300 0.033300 0 0 NORESP 2000
3 1 17 32 go 1 no img2 1 0.233300 0.033300 0 0 NORESP 2000
3 1 18 26 go 1 no img2 1 0.233300 0.033300 0 0 NORESP 2000
3 1 19 113 go 1 yes img1 1 0.233300 0.033300 0 0 NORESP 2000
3 1 20 93 go 1 yes img1 1 0.233300 0.033300 0 0 NORESP 2000
3 1 21 25 go 1 yes img1 1 0.233300 0.033300 0 0 NORESP 1999
3 1 22 110 stop 0 no img2 1 0.266600 0.066600 1 0 yes 1076
3 1 23 34 go 1 no img2 1 0.266600 0.066600 0 0 NORESP 1999
3 1 24 52 go 1 no img2 1 0.266600 0.066600 0 0 NORESP 1999
3 1 25 53 go 1 yes img1 1 0.266600 0.066600 0 0 NORESP 1999
3 1 26 124 go 1 no img2 1 0.266600 0.066600 0 0 NORESP 2000
3 1 27 23 go 1 yes img1 1 0.266600 0.066600 0 0 NORESP 1999
3 1 28 99 stop 0 yes img1 1 0.233300 0.033300 0 1 NORESP 1999
3 1 29 132 go 1 no img2 1 0.233300 0.033300 1 1 yes 1511
3 1 30 10 stop 0 no img2 1 0.266600 0.066600 1 0 yes 1512
3 1 31 43 go 1 yes img1 1 0.266600 0.066600 0 0 NORESP 2000
3 1 32 40 stop 0 no img2 1 0.233300 0.033300 1 0 yes 1719
3 1 33 121 go 1 yes img1 1 0.233300 0.033300 1 1 no 1921
3 1 34 66 go 1 no img2 1 0.233300 0.033300 1 1 yes 1640
3 1 35 73 go 1 yes img1 1 0.233300 0.033300 0 0 NORESP 1999
3 1 36 16 go 1 no img2 1 0.233300 0.033300 1 1 yes 1156
3 1 37 62 go 1 no img2 1 0.233300 0.033300 0 0 NORESP 2000
3 1 38 130 stop 0 no img2 1 0.200000 0.000000 0 1 NORESP 1999
3 1 39 68 go 1 no img2 1 0.200000 0.000000 1 1 yes 778
3 1 40 103 go 1 yes img1 1 0.200000 0.000000 0 0 NORESP 1999
3 1 41 46 go 1 no img2 1 0.200000 0.000000 0 0 NORESP 1999
3 1 42 135 go 1 yes img1 1 0.200000 0.000000 0 0 NORESP 1999
3 1 43 57 go 1 yes img1 1 0.200000 0.000000 0 0 NORESP 1999
3 1 44 101 go 1 yes img1 1 0.200000 0.000000 0 0 NORESP 1999
3 1 45 115 go 1 yes img1 1 0.200000 0.000000 0 0 NORESP 1999
3 1 46 98 go 1 no img2 1 0.200000 0.000000 0 0 NORESP 1999
3 1 47 82 go 1 no img2 1 0.200000 0.000000 0 0 NORESP 2000
3 1 48 84 go 1 no img2 1 0.200000 0.000000 1 1 yes 1810
3 1 49 107 go 1 yes img1 1 0.200000 0.000000 1 1 no 1924
3 1 50 123 go 1 yes img1 1 0.200000 0.000000 0 0 NORESP 1999
3 1 51 80 stop 0 no img2 1 0.233300 0.033300 1 0 no 1342
3 1 52 109 stop 0 yes img1 1 0.200000 0.000000 1 0 yes 1548
3 1 53 67 go 1 yes img1 1 0.200000 0.000000 0 0 NORESP 2000
3 1 54 64 go 1 no img2 1 0.200000 0.000000 0 0 NORESP 2000
3 1 55 12 go 1 no img2 1 0.200000 0.000000 1 1 yes 1168
3 1 56 79 stop 0 yes img1 1 0.166700 -0.033300 0 1 NORESP 2000
3 1 57 21 go 1 yes img1 1 0.166700 -0.033300 0 0 NORESP 1999
3 1 58 41 go 1 yes img1 1 0.166700 -0.033300 0 0 NORESP 2000
3 1 59 140 stop 0 no img2 1 0.200000 0.000000 0 1 NORESP 2000
3 1 60 5 go 1 yes img1 1 0.200000 0.000000 1 1 yes 1
3 1 61 39 stop 0 yes img1 1 0.233300 0.033300 1 0 no 1726
3 1 62 111 go 1 yes img1 1 0.233300 0.033300 1 1 yes 1542
3 1 63 63 go 1 yes img1 1 0.233300 0.033300 0 0 NORESP 1999
3 1 64 51 go 1 yes img1 1 0.233300 0.033300 0 0 NORESP 1999
3 1 65 14 go 1 no img2 1 0.233300 0.033300 0 0 NORESP 2000
3 1 66 56 go 1 no img2 1 0.233300 0.033300 0 0 NORESP 1999
3 1 67 37 go 1 yes img1 1 0.233300 0.033300 0 0 NORESP 1999
3 1 68 31 go 1 yes img1 1 0.233300 0.033300 1 1 no 1475
3 1 69 44 go 1 no img2 1 0.233300 0.033300 0 0 NORESP 1999
3 1 70 54 go 1 no img2 1 0.233300 0.033300 0 0 NORESP 1999
3 1 71 74 go 1 no img2 1 0.233300 0.033300 0 0 NORESP 2000
3 1 72 125 go 1 yes img1 1 0.233300 0.033300 1 1 yes 1494
3 1 73 33 go 1 yes img1 1 0.233300 0.033300 0 0 NORESP 1999
3 1 74 42 go 1 no img2 1 0.233300 0.033300 0 0 NORESP 2000
3 1 75 47 go 1 yes img1 1 0.233300 0.033300 1 1 no 1
3 1 76 112 go 1 no img2 1 0.233300 0.033300 0 0 NORESP 2000
3 1 77 117 go 1 yes img1 1 0.233300 0.033300 0 0 NORESP 1999
3 1 78 91 go 1 yes img1 1 0.233300 0.033300 0 0 NORESP 2000
3 1 79 96 go 1 no img2 1 0.233300 0.033300 1 1 yes 1339
3 1 80 76 go 1 no img2 1 0.233300 0.033300 0 0 NORESP 2000
3 1 81 127 go 1 yes img1 1 0.233300 0.033300 1 1 no 1
3 1 82 129 stop 0 yes img1 1 0.200000 0.000000 0 1 NORESP 2000
3 1 83 7 go 1 yes img1 1 0.200000 0.000000 1 1 yes 633
3 1 84 28 go 1 no img2 1 0.200000 0.000000 0 0 NORESP 1999
3 1 85 11 go 1 yes img1 1 0.200000 0.000000 1 1 yes 1984
3 1 86 15 go 1 yes img1 1 0.200000 0.000000 1 1 no 1766
3 1 87 3 go 1 yes img1 1 0.200000 0.000000 0 0 NORESP 1999
3 1 88 88 go 1 no img2 1 0.200000 0.000000 0 0 NORESP 1999
3 1 89 118 go 1 no img2 1 0.200000 0.000000 1 1 no 836
3 1 90 95 go 1 yes img1 1 0.200000 0.000000 0 0 NORESP 2000
3 1 91 106 go 1 no img2 1 0.200000 0.000000 0 0 NORESP 2000
3 1 92 81 go 1 yes img1 1 0.200000 0.000000 0 0 NORESP 1999
3 1 93 105 go 1 yes img1 1 0.200000 0.000000 0 0 NORESP 1999
3 1 94 100 stop 0 no img2 1 0.233300 0.033300 0 1 NORESP 1999
3 1 95 136 go 1 no img2 1 0.233300 0.033300 0 0 NORESP 1999
3 1 96 126 go 1 no img2 1 0.233300 0.033300 1 1 no 746
