subject trial unshuffledTrial identity goStop goNum threat img hand SSD DELTA gotResponse correctResp orientation keyPress rt day time
323 1 129 self go 1 yes img1 1 0.000000 0.000000 1 1 L left 524 04-May-2016 10:53:39
323 2 158 other go 1 no pic14 1 0.000000 0.000000 1 1 R left 656 04-May-2016 10:53:42
323 3 27 other go 1 no pic11 1 0.000000 0.000000 1 1 L right 814 04-May-2016 10:53:45
323 4 98 self go 1 yes img2 1 0.000000 0.000000 1 1 L left 568 04-May-2016 10:53:47
323 5 106 self go 1 no img10 1 0.000000 0.000000 1 1 L left 458 04-May-2016 10:53:50
323 6 235 self go 1 no img11 1 0.000000 0.000000 1 1 L left 558 04-May-2016 10:53:53
323 7 265 self stop 0 no img9 1 0.250000 0.050000 0 1 L NONE 0 04-May-2016 10:53:57
323 8 20 other go 1 yes pic4 1 0.250000 0.050000 1 1 L right 526 04-May-2016 10:53:59
323 9 126 other go 1 no pic14 1 0.250000 0.050000 1 1 R left 707 04-May-2016 10:54:02
323 10 231 self go 1 yes img7 1 0.250000 0.050000 1 1 R right 576 04-May-2016 10:54:06
323 11 279 other stop 0 yes pic7 1 0.300000 0.100000 0 1 R NONE 0 04-May-2016 10:54:10
323 12 214 other go 1 yes pic6 1 0.300000 0.100000 1 1 R left 719 04-May-2016 10:54:12
323 13 12 self go 1 no img12 1 0.300000 0.100000 1 1 L left 594 04-May-2016 10:54:15
323 14 315 other stop 0 no pic11 1 0.350000 0.150000 1 0 L right 428 04-May-2016 10:54:19
323 15 285 other stop 0 no pic13 1 0.300000 0.100000 0 1 R NONE 0 04-May-2016 10:54:22
323 16 60 other go 1 no pic12 1 0.300000 0.100000 1 1 L right 595 04-May-2016 10:54:25
323 17 147 other go 1 yes pic3 1 0.300000 0.100000 1 1 L right 554 04-May-2016 10:54:28
323 18 29 other go 1 no pic13 1 0.300000 0.100000 1 1 R left 613 04-May-2016 10:54:31
323 19 175 self go 1 no img15 1 0.300000 0.100000 1 1 R right 636 04-May-2016 10:54:34
323 20 114 other go 1 yes pic2 1 0.300000 0.100000 1 1 L right 574 04-May-2016 10:54:37
323 21 196 self go 1 yes img4 1 0.300000 0.100000 1 1 L left 579 04-May-2016 10:54:40
323 22 221 other go 1 no pic13 1 0.300000 0.100000 1 1 R left 616 04-May-2016 10:54:43
323 23 194 self go 1 yes img2 1 0.300000 0.100000 1 1 L left 732 04-May-2016 10:54:46
323 24 242 other go 1 yes pic2 1 0.300000 0.100000 1 1 L right 769 04-May-2016 10:54:49
323 25 78 self go 1 no img14 1 0.300000 0.100000 1 1 R right 683 04-May-2016 10:54:52
323 26 88 other go 1 yes pic8 1 0.300000 0.100000 1 1 R left 696 04-May-2016 10:54:56
323 27 99 self go 1 yes img3 1 0.300000 0.100000 1 1 L left 618 04-May-2016 10:54:58
323 28 8 self go 1 yes img8 1 0.300000 0.100000 1 1 R right 824 04-May-2016 10:55:01
323 29 185 other go 1 no pic9 1 0.300000 0.100000 1 1 L right 777 04-May-2016 10:55:05
323 30 294 self stop 0 yes img6 1 0.350000 0.150000 0 1 R NONE 0 04-May-2016 10:55:08
323 31 57 other go 1 no pic9 1 0.350000 0.150000 1 1 L right 687 04-May-2016 10:55:12
323 32 306 other stop 0 yes pic2 1 0.400000 0.200000 0 1 L NONE 0 04-May-2016 10:55:15
323 33 173 self go 1 no img13 1 0.400000 0.200000 1 1 R right 728 04-May-2016 10:55:18
323 34 262 self stop 0 yes img6 1 0.450000 0.250000 0 1 R NONE 0 04-May-2016 10:55:22
323 35 250 other go 1 no pic10 1 0.450000 0.250000 1 1 L right 835 04-May-2016 10:55:26
323 36 15 self go 1 no img15 1 0.450000 0.250000 1 1 R right 649 04-May-2016 10:55:29
323 37 79 self go 1 no img15 1 0.450000 0.250000 1 1 R right 814 04-May-2016 10:55:32
323 38 203 self go 1 no img11 1 0.450000 0.250000 1 1 L left 794 04-May-2016 10:55:35
323 39 123 other go 1 no pic11 1 0.450000 0.250000 1 1 L right 744 04-May-2016 10:55:38
323 40 105 self go 1 no img9 1 0.450000 0.250000 1 1 L left 671 04-May-2016 10:55:42
323 41 13 self go 1 no img13 1 0.450000 0.250000 1 1 R right 766 04-May-2016 10:55:44
323 42 94 other go 1 no pic14 1 0.450000 0.250000 1 1 R left 744 04-May-2016 10:55:47
323 43 160 other go 1 no pic16 1 0.450000 0.250000 1 1 R left 819 04-May-2016 10:55:51
323 44 38 self go 1 yes img6 1 0.450000 0.250000 1 1 R right 828 04-May-2016 10:55:54
323 45 154 other go 1 no pic10 1 0.450000 0.250000 1 1 L right 680 04-May-2016 10:55:58
323 46 167 self go 1 yes img7 1 0.450000 0.250000 1 1 R right 835 04-May-2016 10:56:01
323 47 36 self go 1 yes img4 1 0.450000 0.250000 1 1 L left 933 04-May-2016 10:56:04
323 48 193 self go 1 yes img1 1 0.450000 0.250000 1 1 L left 872 04-May-2016 10:56:07
323 49 43 self go 1 no img11 1 0.450000 0.250000 1 1 L left 946 04-May-2016 10:56:10
323 50 134 self go 1 yes img6 1 0.450000 0.250000 1 1 R right 890 04-May-2016 10:56:14
323 51 132 self go 1 yes img4 1 0.450000 0.250000 1 1 L left 881 04-May-2016 10:56:17
323 52 314 other stop 0 no pic10 1 0.500000 0.300000 0 1 L NONE 0 04-May-2016 10:56:21
323 53 286 other stop 0 no pic14 1 0.550000 0.350000 0 1 R NONE 0 04-May-2016 10:56:24
323 54 59 other go 1 no pic11 1 0.550000 0.350000 1 1 L right 800 04-May-2016 10:56:28
323 55 252 other go 1 no pic12 1 0.550000 0.350000 1 1 L right 753 04-May-2016 10:56:31
